NOME	REGIME	ANO	NUMERO	CURSO
Yago da Paz	Normal	2	13859	GE
Lucas Moreira	Normal	3	4382	EM
Pietro Pereira	Normal	2	5830	TUR
Henrique da Costa	Normal	1	5138	TDM
Lucca Nogueira	Normal	3	4085	MKT
Gustavo Porto	Normal	2	3606	TDM
Danilo Caldeira	Normal	3	4166	EM
Benjamin Silveira	Normal	1	9723	EI
Emanuel da Cunha	Normal	3	10741	TDMO
Nicolas Teixeira	Normal	3	3274	TDM
Nicole Melo	Normal	1	4101	TDM
Caua Caldeira	Normal	3	4865	MKT
Nicolas Costela	Normal	1	28529	EC
Vitor Gabriel Goncalves	Normal	1	3628	EI
Antonio Souza	Normal	1	3982	GI
Fernando Silva	Normal	1	1778	CONT
Maria Clara Freitas	Normal	1	4302	GI
Samuel Araujo	Normal	2	5470	TDM
Bruna Pereira	Normal	3	4855	EE
Camila Carvalho	Normal	1	4019	TUR
Daniel Costa	Normal	2	5920	TDM
Stephany Moura	Normal	1	3047	MKT
Ana Julia Almeida	Normal	1	3401	EE
Guilherme Teixeira	Normal	1	3074	EA
Murilo Fogaca	Normal	3	3407	MKT
Diogo Araujo	Normal	3	4906	EI
Joao Lucas Souza	Normal	2	5188	GI
Alice Monteiro	Normal	3	5159	GE
Isabel Ramos	Normal	2	5026	EE
Nathan Cavalcanti	Normal	3	4293	MKT
Daniela Castro	Normal	1	4497	EE
Joao Lucas da Mota	Normal	2	5959	GI
Marina Castro	Normal	2	13316	EI
Camila Rodrigues	Normal	3	4183	EI
Otavio Duarte	Normal	1	4123	EC
Nathan Cardoso	Normal	2	5606	EC
Gustavo Teixeira	Normal	2	3629	GE
Levi Cardoso	Normal	1	3767	GI
Thales Souza	Normal	1	4035	CONT
Davi Luiz Carvalho	Normal	3	5035	GI
Enrico Santos	Normal	1	4368	TDMO
Sophie Fernandes	Normal	1	4147	GE
Pedro Henrique da Luz	Normal	2	23190	EC
Diego Ribeiro	Normal	3	5208	EE
Joao Vitor Nascimento	Normal	3	4087	EM
Ana Clara Vieira	Normal	1	5306	CONT
Daniel Dias	Normal	1	5161	TDM
Larissa Silva	Normal	2	3322	EE
Sophia Costa	Normal	3	4082	GE
Brenda Campos	Normal	2	5025	TUR
Murilo Santos	Normal	2	2842	EE
Luiz Felipe Santos	Normal	2	1288	EA
Camila Pires	Normal	1	4495	EE
Caua Rodrigues	Normal	3	3938	TDM
Ana Luiza Lima	Normal	3	4014	EI
Julia Jesus	Normal	3	3807	TUR
Leticia Pinto	Normal	1	4443	GE
Luiza Santos	Normal	1	3468	EA
Sofia Goncalves	Normal	2	4475	EA
Davi Lucca Porto	Normal	3	31106	MKT
Sarah Ferreira	Normal	2	3685	GI
Anthony Ramos	Normal	1	5214	EA
Caroline Novaes	Normal	3	3717	GI
Henrique Ribeiro	Normal	3	10040	EI
Ana Laura Aragao	Normal	3	4046	TDMO
Leonardo Nascimento	Normal	1	4299	GI
Maria Julia Pereira	Normal	1	4723	CONT
Clarice Campos	Normal	1	5731	EI
Gabriel Barbosa	Normal	1	5045	TDMO
Maria Vitoria Martins	Normal	3	9942	EM
Pedro Caldeira	Normal	3	3068	MKT
Julia Costela	Normal	2	20264	GE
Alicia Teixeira	Normal	1	3467	EC
Larissa Moraes	Normal	1	23648	TUR
Joana Silveira	Normal	3	4506	GI
Camila Cunha	Normal	3	5557	EA
Valentina da Luz	Normal	1	28446	EE
Maria Luiza Rocha	Normal	1	24805	EI
Melissa Rodrigues	Normal	1	5523	EI
Maria Julia Oliveira	Normal	1	4623	TDMO
Maria Luiza Dias	Normal	3	3188	EA
Ana Beatriz Barros	Normal	1	5268	EC
Otavio Pires	Normal	3	3513	EI
Isis Lopes	Normal	3	3672	EI
Lucca Caldeira	Normal	3	3962	GE
Carlos Eduardo Porto	Normal	2	5353	EA
Ian da Paz	Normal	2	4215	TDM
Joao Miguel Porto	Normal	2	4551	GE
Gabriel Cardoso	Normal	2	16890	TUR
Larissa Ramos	Normal	1	7729	EA
Guilherme Novaes	Normal	3	5686	EA
Clara Carvalho	Normal	2	3592	EE
Lucas Gabriel Aragao	Normal	1	25370	CONT
Rafael Pereira	Normal	3	16350	EI
Camila Costa	Normal	1	16006	TUR
Evelyn da Costa	Normal	1	32101	EE
Pietro Goncalves	Normal	2	3693	GI
Ana Beatriz Moura	Normal	2	25393	EM
Pedro Lucas Carvalho	Normal	1	5739	TUR
Luiz Otavio Porto	Normal	2	4289	GI
Gabrielly Campos	Normal	1	3314	GI
Bruna Sales	Normal	3	4468	EM
Isis Costela	Normal	1	3627	EE
Miguel Rodrigues	Normal	1	3332	TDM
Rebeca Silveira	Normal	1	4548	MKT
Eduarda Nascimento	Normal	2	3367	EA
Anthony Nogueira	Normal	2	4445	GE
Luiz Gustavo Rodrigues	Normal	2	4853	TDM
Gabriel Costela	Normal	1	4118	EM
Davi Lucca Duarte	Normal	2	3335	MKT
Rafaela Pires	Normal	3	3721	EI
Luna Martins	Normal	1	20629	EC
Maria Alice Barbosa	Normal	1	5006	GI
Samuel Barros	Normal	2	13623	EA
Melissa Nunes	Normal	2	25084	GI
Augusto Oliveira	Normal	2	5119	CONT
Marcelo Nunes	Normal	2	4312	EA
Theo da Mota	Normal	1	4964	EE
Larissa Dias	Normal	3	20954	TDMO
Caua Lima	Normal	1	19756	GI
Mariane Martins	Normal	3	12840	TDMO
Stephany Almeida	Normal	1	3311	EM
Ian Porto	Normal	1	3598	EI
Joao Miguel Vieira	Normal	3	4021	EA
Igor da Mata	Normal	2	5534	EM
Rebeca Rocha	Normal	2	3272	TDM
Alicia Dias	Normal	1	4023	CONT
Lavinia Duarte	Normal	3	5966	EI
Luiz Felipe Dias	Normal	3	4205	TDM
Alana Correia	Normal	2	8376	EE
Davi Lucca Barros	Normal	1	3140	EI
Maria Vitoria Sales	Normal	2	3763	CONT
Pedro Henrique Azevedo	Normal	1	4501	EA
Daniela Santos	Normal	3	3061	GE
Gabrielly Araujo	Normal	1	3289	CONT
Fernanda Nascimento	Normal	1	5521	GE
Marcos Vinicius Martins	Normal	2	14931	MKT
Milena Sales	Normal	3	5998	EC
Joao Guilherme da Rosa	Normal	1	27308	EM
Joao Miguel da Luz	Normal	3	3354	EE
Yasmin Viana	Normal	2	5098	GE
Gabriel Pires	Normal	3	5229	TDMO
Leandro Silva	Normal	1	17944	EI
Juan Ferreira	Normal	3	33439	MKT
Giovanna Pinto	Normal	2	5921	MKT
Marcela Teixeira	Normal	2	5881	TDM
Joao Felipe Lopes	Normal	2	3442	GI
Carolina Cunha	Normal	1	25626	CONT
Milena Fogaca	Normal	3	12323	EI
Otavio Martins	Normal	3	4904	CONT
Heitor Cavalcanti	Normal	2	5273	GI
Lorena Pinto	Normal	2	3740	TUR
Julia Moraes	Normal	3	4318	GI
Isabella Oliveira	Normal	1	5946	EI
Rafael Silveira	Normal	2	3727	MKT
Luiz Otavio Correia	Normal	2	3631	EM
Yago Dias	Normal	1	6537	MKT
Luiz Miguel Nunes	Normal	3	4748	EA
Maria Vitoria da Rocha	Normal	2	22538	GE
Joao Lucas Duarte	Normal	3	3858	EI
Nicole Martins	Normal	1	3848	EM
Leonardo da Rocha	Normal	2	4494	EA
Isadora Rocha	Normal	1	3143	EA
Theo Correia	Normal	2	17118	GI
Gustavo Henrique Martins	Normal	1	5783	TDMO
Caue Costela	Normal	2	5386	TDMO
Thales Campos	Normal	2	3082	GE
Vitor Gabriel Farias	Normal	1	5866	EA
Bianca Cardoso	Normal	1	4956	EE
Alexia Moura	Normal	3	3035	TUR
Augusto Caldeira	Normal	1	23929	TDMO
Andre Viana	Normal	1	5301	EM
Isaac Teixeira	Normal	3	4463	EM
Yasmin Melo	Normal	3	4406	MKT
Maria Clara Farias	Normal	2	4557	EM
Carolina Porto	Normal	1	3413	EC
Carlos Eduardo Ramos	Normal	1	4317	EE
Gabriel Costa	Normal	3	17541	EC
Larissa Silveira	Normal	1	5833	MKT
Calebe Silveira	Normal	3	5794	TDMO
Luiz Henrique Cavalcanti	Normal	3	3435	TDMO
Livia Pereira	Normal	3	5013	TDM
Antonio Caldeira	Normal	2	5976	GI
Ana Sophia Ramos	Normal	1	32115	MKT
Eduardo Rodrigues	Normal	3	4917	MKT
Leonardo Lima	Normal	2	4734	MKT
Olivia Rocha	Normal	1	5538	EA
Luiz Felipe das Neves	Normal	2	5639	EC
Diogo Viana	Normal	2	5528	EM
Marcos Vinicius Almeida	Normal	2	30658	MKT
Lorenzo Carvalho	Normal	3	4776	TUR
Esther Nunes	Normal	2	23704	TDMO
Lucas Barros	Normal	1	4996	TUR
Maria Cecilia Lopes	Normal	2	5676	GE
Matheus Pereira	Normal	3	4755	GE
Luiz Felipe Barros	Normal	3	10930	EI
Amanda Pereira	Normal	3	3978	TDMO
Luigi Azevedo	Normal	3	5817	EM
Heloisa Pereira	Normal	3	4713	TDMO
Catarina da Rocha	Normal	1	5429	EI
Ana Vitoria Sales	Normal	3	4227	TUR
Maysa Nunes	Normal	2	5901	MKT
Emanuella da Paz	Normal	2	4420	GI
Matheus Viana	Normal	3	3530	TDMO
Yasmin Novaes	Normal	1	4208	TDM
Caua Nogueira	Normal	3	3265	EA
Esther Teixeira	Normal	1	3723	TDM
Nathan Novaes	Normal	3	4784	GI
Ana Beatriz Dias	Normal	1	4812	EM
Carlos Eduardo Oliveira	Normal	1	14977	GI
Luiz Felipe Nunes	Normal	2	4505	EC
Davi da Mata	Normal	1	5042	GI
Ian Lopes	Normal	3	5789	EI
Benjamin Novaes	Normal	1	32673	GE
Benicio Farias	Normal	3	4566	EI
Catarina Fernandes	Normal	1	3240	GE
Leandro da Mata	Normal	1	5638	TDMO
Maria Fernanda Pires	Normal	2	3022	TDMO
Maria Alice Cardoso	Normal	2	3534	TDM
Davi Lucca Fernandes	Normal	2	5923	GI
Lucca Moura	Normal	2	3834	GI
Renan Porto	Normal	1	5212	EE
Laura Novaes	Normal	1	23386	EM
Daniela Lima	Normal	1	5276	GE
Larissa Costela	Normal	2	6021	CONT
Yasmin Fogaca	Normal	3	29745	MKT
Joao Guilherme Barros	Normal	1	5383	EA
Maria Eduarda Almeida	Normal	1	27924	EA
Marcos Vinicius Rocha	Normal	1	20072	GE
Sophie Costa	Normal	2	3827	TDMO
Gustavo Pires	Normal	2	7270	EI
Joao Mendes	Normal	2	3777	EI
Rafaela Alves	Normal	3	4356	TDMO
Valentina Mendes	Normal	3	3414	EC
Livia Vieira	Normal	3	3235	EE
Emanuella Silveira	Normal	2	3461	EC
Vinicius Rocha	Normal	1	3742	EM
Bianca da Paz	Normal	3	3320	CONT
Nina Fogaca	Normal	1	4942	EI
Maysa Dias	Normal	3	5239	GI
Maria Sophia Carvalho	Normal	1	3297	EE
Luna Farias	Normal	2	5112	EM
Ana Clara Castro	Normal	2	3973	EI
Renan Castro	Normal	1	3420	EA
Maria Luiza Goncalves	Normal	3	6829	CONT
Joao Gabriel Rezende	Normal	1	4761	TUR
Noah Mendes	Normal	3	4254	TDMO
Sabrina Lima	Normal	3	3895	TDMO
Joao Lucas Ramos	Normal	1	27777	TDMO
Antonio Castro	Normal	1	3271	GI
Arthur Mendes	Normal	3	5630	GI
Pedro Jesus	Trabalhador-estudante	2	3037	EE
Clara Cavalcanti	Trabalhador-estudante	3	4874	TUR
Sofia Lima	Trabalhador-estudante	2	3647	GE
Heloisa Barbosa	Trabalhador-estudante	1	16573	MKT
Rodrigo Barbosa	Trabalhador-estudante	1	3898	EI
Vitoria da Conceicao	Trabalhador-estudante	3	4338	EM
Marina Oliveira	Trabalhador-estudante	1	3940	TDM
Pietro da Paz	Trabalhador-estudante	1	5207	EE
Juliana Rodrigues	Trabalhador-estudante	1	5472	EM
Leonardo Ferreira	Trabalhador-estudante	1	4004	EI
Raul Ferreira	Trabalhador-estudante	3	4249	GI
Caue Cunha	Trabalhador-estudante	3	6097	TUR
Amanda Silveira	Trabalhador-estudante	3	4648	GE
Leticia da Costa	Trabalhador-estudante	3	3751	EE
Heloisa da Cruz	Trabalhador-estudante	1	17512	EC
Diego Correia	Trabalhador-estudante	3	3218	EI
Ana Mendes	Trabalhador-estudante	1	5148	EA
Rodrigo Barros	Trabalhador-estudante	1	24986	EI
Renan Melo	Trabalhador-estudante	1	14290	EC
Vitoria Castro	Trabalhador-estudante	2	3241	TDM
Manuela Lima	Trabalhador-estudante	3	5220	GI
Stella da Rosa	Trabalhador-estudante	1	5787	GI
Luiza das Neves	Trabalhador-estudante	3	10161	TUR
Ana Julia Melo	Trabalhador-estudante	3	4027	EC
Carlos Eduardo Cardoso	Trabalhador-estudante	1	3025	CONT
Eduardo Martins	Trabalhador-estudante	2	3845	EM
Marcela Carvalho	Trabalhador-estudante	3	5821	EE
Leandro Rocha	Trabalhador-estudante	3	3333	GI
Maria Fernanda Fogaca	Trabalhador-estudante	3	4724	TDMO
Thales Melo	Trabalhador-estudante	2	4047	TUR
Carolina Barbosa	Trabalhador-estudante	2	5449	EA
Francisco Rodrigues	Trabalhador-estudante	3	3838	EM
Brenda Nunes	Trabalhador-estudante	1	19636	EA
Lucas Lopes	Trabalhador-estudante	2	5335	GE
Antonio Novaes	Trabalhador-estudante	3	23355	GI
Samuel Fogaca	Trabalhador-estudante	3	25767	TDM
Maria da Mota	Normal	3	5723	EC
Pedro Henrique da Mota	Normal	3	5078	TDM
Joao Miguel Lopes	Normal	1	3810	GE
Matheus Correia	Normal	1	5797	CONT
Stephany Melo	Normal	1	3227	TDMO
Amanda Monteiro	Normal	3	4376	EE
Heloisa da Costa	Normal	1	24655	TDM
Davi Sales	Normal	3	4079	TDM
Joao Miguel Nascimento	Normal	3	4297	GE
Maria Clara Porto	Normal	3	16574	EA
Barbara Almeida	Normal	1	5880	EA
Eduardo Ribeiro	Normal	1	5031	EE
Lais Costa	Normal	2	5087	TDMO
Rebeca Freitas	Normal	2	3555	EE
Bruna Caldeira	Normal	3	4107	GE
Marcelo Campos	Normal	1	4582	CONT
Mariana da Mata	Normal	2	4554	GI
Anthony Cavalcanti	Normal	1	4486	CONT
Diego Alves	Normal	1	3563	TUR
Vinicius Nunes	Erasmus	3	4783	CONT
Alexandre da Cruz	Erasmus	3	13052	TDM
Gustavo Henrique Porto	Erasmus	1	5547	GE
Luigi Rezende	Normal	3	3527	MKT
Leticia Cardoso	Normal	3	3428	CONT
Guilherme Correia	Normal	1	28350	TUR
Eduarda Moraes	Normal	3	3616	EM
Evelyn Vieira	Normal	2	4154	EC
Emilly Moreira	Normal	1	2150	EM
Joao Gabriel da Costa	Normal	1	3860	MKT
Lucca Moura	Normal	2	5844	GE
Joao da Mota	Normal	2	3653	EE
Raquel Santos	Normal	3	17941	MKT
Lavinia Alves	Normal	3	22724	CONT
Cecilia Rodrigues	Normal	1	4835	TDM
Cecilia Ramos	Normal	2	4633	EE
Luiz Otavio Correia	Normal	3	5778	EA
Luana Azevedo	Normal	1	14966	TDMO
Kevin Aragao	Normal	1	4626	CONT
Valentina Teixeira	Normal	2	3640	TUR
Lorenzo Fogaca	Normal	1	3229	EE
Joao da Luz	Normal	3	5645	CONT
Maria Sophia Pereira	Normal	3	32107	GI
Eloah Lima	Normal	2	3852	EI
Igor da Conceicao	Normal	2	4324	EE
Laura Ramos	Normal	3	31191	EA
Joao Lucas Lima	Normal	3	4632	EM
Theo Pinto	Gewg	2	5177	GE
Maria Cecilia da Costa	Erasmus	2	5665	TDMO
Rafaela Rodrigues	Atleta	3	3286	EA
Vitor Barros	Atleta	2	19007	EC
Breno Dias	Noral	2	12337	GI
Calebe Jesus	Normal	1	4565	EI
Fernanda Barros	Normal	3	3814	EI
Maria Alice das Neves	Normal	3	4556	EC
Isadora Melo	Normal	1	4260	EA
Joao Miguel Peixoto	Normal	2	4096	EC
Stephany Castro	Normal	3	4284	EI
Benjamin da Cruz	Normal	2	5993	GE
Leandro Nunes	Normal	2	5123	EM
Alice Souza	Normal	3	3957	EI
Alicia Silveira	Normal	1	16457	MKT
Enzo Gabriel Fernandes	Normal	1	5340	EE
Emanuel Melo	Normal	2	3251	EA
Joana Cunha	Normal	1	5694	MKT
Laura Nogueira	Normal	3	13287	EA
Lucca da Cruz	Normal	1	4274	MKT
Leticia Pires	Normal	1	3343	TUR
Pedro Lucas Gomes	Normal	3	3941	CONT
Melissa da Paz	Erasmus	1	5597	GI
Alexia Correia	Erasmus	1	3111	GE
Samuel da Rosa	Erasmus	2	28753	TDM
Marcos Vinicius Mendes	Normal	1	4758	CONT
Emanuelly Costa	Normal	3	4798	TDM
Isabelly Moura	Normal	2	4403	EC
Evelyn Campos	Normal	1	11383	GE
Luiz Fernando Cardoso	Normal	1	4111	TDMO
Sophia Freitas	Normal	1	4235	TDM
Kevin Ribeiro	Normal	1	3144	TDM
Clarice Moreira	Normal	3	5984	MKT
Alice Costela	Normal	2	5710	EC
Nathan Barbosa	Normal	1	3679	CONT
Esther da Rosa	Normal	3	5952	EC
Isaac Nogueira	Normal	1	4088	EE
Elisa Monteiro	Normal	3	5784	TUR
Maria Alice Ferreira	Normal	3	3639	EI
Caue Costa	Normal	2	15945	GI
Enzo da Costa	Normal	3	5500	TDM
Rafael Martins	Normal	3	5057	TDMO
Natalia Fernandes	Normal	1	9909	EC
Helena Pinto	Normal	2	4503	TDMO
Juliana da Paz	Normal	3	3689	EI
Juliana Fogaca	Normal	2	3788	EI
Stephany Goncalves	Normal	1	3316	GI
Nicolas Oliveira	Normal	1	3120	TDM
Andre Pinto	Normal	2	5389	EE
Beatriz Peixoto	Normal	3	3722	EA
Livia Aragao	Normal	1	5513	GI
Emilly da Cruz	Normal	1	33209	EA
Evelyn Aragao	Normal	1	10758	EE
Daniela Vieira	Normal	3	3162	CONT
Emanuelly da Costa	Normal	3	3589	MKT
Alexia Fernandes	Normal	2	25221	GI
Ana Beatriz Silveira	Normal	3	19588	CONT
Ana Costela	Normal	1	7422	EA
Yasmin Nogueira	Normal	3	25946	CONT
Ana Julia Vieira	Normal	1	4476	EM
Bruna Correia	Normal	2	3955	EE
Murilo Ribeiro	Normal	1	4691	EE
Felipe Barbosa	Normal	2	28506	EA
Daniel Pinto	Normal	1	3155	EI
Thiago Mendes	Normal	3	5839	TDMO
Paulo Fogaca	Normal	2	3479	GI
Ana Julia Gomes	Normal	2	14030	EM
Lara Barbosa	Normal	3	17413	EA
Arthur Martins	Normal	2	4514	EM
Fernanda Pires	Normal	2	4031	GI
Ana Luiza Moura	Normal	2	3400	EC
Juliana Cavalcanti	Normal	3	5421	TDM
Melissa Silveira	Normal	1	5288	EE
Maria Vitoria Oliveira	Normal	3	30168	EE
Gustavo Henrique Correia	Normal	1	1900	EC
Evelyn Porto	Normal	1	5489	TDM
Barbara Cardoso	Normal	3	33591	CONT
Enrico Oliveira	Normal	3	5516	EE
Levi das Neves	Normal	2	19762	TDMO
Marcela Peixoto	Normal	1	2655	TDM
Lucas Gabriel Carvalho	Normal	1	5140	TUR
Sabrina Castro	Normal	2	4747	MKT
Felipe Pinto	Normal	3	4394	MKT
Gustavo Ribeiro	Erasmus	3	18410	GE
Beatriz da Luz	Erasmus	1	3355	MKT
Arthur Souza	Erasmus	2	5474	GI
Anthony Silveira	Normal	2	5432	MKT
Caua da Cunha	Normal	1	3908	TDMO
Ana da Rocha	Normal	2	5962	EC
Heitor da Mota	Normal	3	7359	EC
Pietro Moreira	Normal	3	3743	EE
Maria Julia Sales	Normal	3	3159	EM
Eduarda Caldeira	Normal	1	3217	TDM
Maria Vitoria Teixeira	Normal	1	4146	TDMO
Nathan Barros	Normal	3	3125	MKT
Alana Melo	Trabalhador-estudante	2	4679	EM
Vitor Nascimento	Trabalhador-estudante	1	4219	CONT
Juliana Sales	Trabalhador-estudante	2	3281	EM
Ana Vitoria Farias	Trabalhador-estudante	1	3284	TDM
Henrique Duarte	Trabalhador-estudante	1	4156	CONT
Lara Moraes	Trabalhador-estudante	2	4639	EC
Isabella da Cunha	Trabalhador-estudante	1	28624	EE
Luana Melo	Trabalhador-estudante	2	21537	TDM
Isabella da Mata	Trabalhador-estudante	1	5204	TDM
Giovanna Pires	Trabalhador-estudante	3	4895	GI
Amanda Peixoto	Trabalhador-estudante	2	3622	EA
Lucas Cardoso	Trabalhador-estudante	2	3169	EI
Lorenzo da Cunha	Trabalhador-estudante	1	22548	TDMO
Diogo Alves	Trabalhador-estudante	1	5679	EE
Joao Vitor Cardoso	Trabalhador-estudante	1	7483	MKT
Bryan Nascimento	Trabalhador-estudante	2	28595	MKT
Diego Cardoso	Trabalhador-estudante	2	4194	MKT
Gustavo Souza	Trabalhador-estudante	1	5041	TUR
Ana Livia Teixeira	Trabalhador-estudante	2	25350	EE
Evelyn Pinto	Trabalhador-estudante	3	5412	EM
Alana Azevedo	Trabalhador-estudante	2	5315	EI
Paulo Caldeira	Trabalhador-estudante	3	11291	GI
Emanuel Vieira	Normal	2	4104	TDMO
Ana Sophia Castro	Normal	2	3088	EE
Davi Lucca Rocha	Normal	2	3388	EC
Levi Barbosa	Normal	3	31836	TDM
Heloisa da Cunha	Normal	1	4982	GE
Laura Farias	Normal	1	10374	EE
Luana Caldeira	Normal	2	3369	EA
Maite Peixoto	Normal	3	12020	EE
Leticia da Mata	Normal	1	5596	GE
Joao Gabriel da Luz	Normal	1	25021	GE
Rafael Teixeira	Normal	3	4103	GE
Nicole Duarte	Normal	2	28348	GE
Ana Laura Cardoso	Normal	1	24199	EE
Stella Porto	Normal	3	20668	MKT
Thiago Dias	Normal	3	3596	MKT
Enrico Martins	Normal	1	3349	CONT
Diego Peixoto	Normal	2	3078	EI
Sabrina Ramos	Erasmus	2	3151	EA
Vitor Gabriel Pires	Erasmus	1	4549	CONT
Matheus Correia	Erasmus	2	3952	EI
Luigi Porto	Erasmus	1	4237	GE
Raquel Pinto	Normal	1	5643	TDMO
Davi Luiz Silveira	Normal	3	5719	EE
Eduardo Moreira	Normal	1	4613	EE
Emanuelly Costa	Normal	3	5142	GI
Murilo Rodrigues	Normal	1	5234	GI
Lucca Viana	Normal	1	4780	TDM
Luiz Fernando Aragao	Normal	3	3396	TUR
Eloah Peixoto	Normal	3	25484	GI
Eloah Santos	Normal	1	5611	TDM
Maria Julia Lopes	Normal	3	5420	CONT
Lorenzo da Conceicao	Normal	2	3946	EC
Alicia Nascimento	Normal	1	5068	EA
Alexandre Porto	Normal	1	3176	TDMO
Ana Sophia Campos	Normal	1	3602	EE
Lucas Silveira	Normal	3	9281	TDMO
Anthony Monteiro	Normal	1	5734	GE
Gustavo Cavalcanti	Normal	3	3127	CONT
Lucas Gabriel Correia	Normal	1	4464	TDM
Emanuelly Rezende	Normal	3	5748	EC
Eduarda Teixeira	Normal	1	3575	EA
Stella Alves	Normal	2	5272	GI
Gabriel Barros	Dirigente associativo	3	1053	EE
Yago Melo	Normal	2	2999	CONT
Maria Luiza da Conceicao	Normal	1	3862	EE
Marcos Vinicius Castro	Normal	2	5909	EI
Joao Guilherme Porto	Erasmus	2	4223	CONT
Yago Ferreira	Normal	1	5264	MKT
Julia Nogueira	Normal	1	27418	TDMO
Vitor Gabriel Dias	Normal	2	4843	EE
Pedro Lucas Caldeira	Normal	1	4862	EE
Gustavo Henrique Barros	Normal	3	3056	GE
Lucas Gabriel Cunha	Normal	1	4145	EI
Benjamin Costa	Normal	2	3549	TDMO
Maite Goncalves	Normal	3	3912	MKT
Mariane Martins	Normal	3	4663	EA
Maria Luiza Ramos	Normal	1	4181	EM
Livia Sales	Normal	2	3000	TDMO
Joao Guilherme Barbosa	Normal	1	5750	EC
Rebeca Souza	Normal	1	28938	CONT
Joao Almeida	Normal	2	7900	TDMO
Carlos Eduardo da Luz	Normal	3	4330	EE
Joana Santos	Normal	2	4788	CONT
Leticia da Cunha	Normal	2	19127	EA
Stephany Lima	Normal	2	5374	TUR
Sophia Viana	Normal	1	5902	EI
Sophie Jesus	Normal	1	3961	EA
Maria Fernanda Barros	Normal	1	4267	MKT
Joao Pedro Costela	Normal	3	1467	EA
Julia Moura	Normal	3	4728	MKT
Bianca Fogaca	Normal	1	15893	TDM
Luiz Gustavo Campos	Normal	2	4140	GI
Luiz Fernando Oliveira	Normal	3	3081	EI
Sophia Vieira	Normal	3	25648	GE
Helena Jesus	Normal	1	4362	TUR
Raquel Araujo	Normal	1	4591	TUR
Ana Vitoria Silva	Normal	3	5399	EC
Pietra Nascimento	Normal	1	5567	GE
Davi Lucca Ribeiro	Normal	3	23483	EC
Ana Vitoria Barros	Normal	2	3371	EI
Isabel Santos	Normal	2	3427	TUR
Olivia Alves	Normal	2	5158	GI
Eloah Castro	Normal	3	4803	TUR
Danilo Pinto	Normal	3	3178	CONT
Nicolas Alves	Normal	3	3443	EA
Bernardo Pinto	Normal	3	3453	EA
Leonardo Monteiro	Normal	1	18807	EE
Joao Felipe Rodrigues	Normal	1	5364	EI
Beatriz Costa	Normal	1	4886	EE
Ana Livia Moraes	Normal	2	3421	TUR
Amanda das Neves	Normal	2	3846	CONT
Joao Gabriel Nunes	Normal	3	5100	CONT
Luiza Cavalcanti	Normal	2	5913	TDM
Luiza Santos	Normal	2	4052	MKT
Natalia Vieira	Normal	2	4307	EC
Bruno Freitas	Normal	2	3337	EM
Francisco Gomes	Normal	1	4762	EM
Nina Aragao	Normal	1	4460	CONT
Leonardo Goncalves	Normal	1	4760	EC
Cecilia das Neves	Normal	3	3757	TDMO
Lucas Gabriel da Rosa	Normal	2	15310	EM
Vitoria Cavalcanti	Normal	2	7617	EE
Maite da Rosa	Normal	1	5132	MKT
Diogo Goncalves	Normal	1	5054	TDMO
Caroline Pires	Normal	3	4295	TDMO
Ryan Santos	Normal	3	3219	CONT
Joao Felipe Mendes	Normal	1	23813	TUR
Fernando Caldeira	Normal	2	3020	TDMO
Antonio da Cruz	Normal	2	4846	EE
Caio Correia	Normal	3	5401	EI
Yasmin Castro	Normal	1	10514	EE
Joao Gabriel da Cruz	Normal	3	15309	EM
Nina Carvalho	Normal	1	8616	EC
Caue da Rocha	Normal	2	4837	EC
Heloisa Ramos	Normal	2	5393	EE
Maria Luiza Rezende	Normal	3	19935	EI
Felipe Melo	Normal	3	4199	MKT
Maysa da Paz	Normal	2	4864	EE
Luiz Otavio Farias	Normal	1	3675	EA
Sophia das Neves	Normal	2	4472	TUR
Giovanna Novaes	Normal	2	4722	EI
Laura Nunes	Normal	3	5367	TDM
Arthur Fogaca	Normal	2	18451	CONT
Davi Lucca da Luz	Normal	1	3315	GI
Maria Alice Pires	Normal	2	5247	TDM
Leandro Martins	Normal	3	21600	TDM
Valentina Castro	Dirigente associativo	3	4645	EA
Henrique Oliveira	Normal	1	4229	TDMO
Maysa Porto	Dirigente associativo	1	4933	EE
Maria Fernanda Araujo	Normal	1	6249	EC
Ana Julia Sales	Dirigente associativo	3	5312	EA
Clarice Cardoso	Normal	2	17519	EC
Yago Almeida	Normal	2	32556	GE
Raul Nogueira	Normal	1	5663	EC
Bernardo Martins	Normal	2	23798	CONT
Evelyn Oliveira	Normal	3	31303	EE
Vicente Barros	Normal	2	4206	EE
Brenda Viana	Normal	3	3835	MKT
Thomas Caldeira	Normal	1	4093	TUR
Maria Vitoria Peixoto	Normal	1	4288	EI
Vitor Caldeira	Normal	3	7224	EM
Noah Pinto	Normal	2	4449	TDMO
Murilo Porto	Normal	2	4636	MKT
Sofia Viana	Normal	1	12008	EI
Bernardo Pereira	Normal	2	3099	EM
Daniel Duarte	Normal	2	5218	CONT
Caroline Moura	Normal	3	6844	EM
Rafael Farias	Normal	1	3466	EE
Heitor Moura	Normal	2	3402	TDM
Julia Monteiro	Normal	1	4374	TDMO
Ana das Neves	Normal	1	33609	TDM
Bruno Novaes	Normal	1	5428	EM
Joao Guilherme Alves	Normal	1	5635	MKT
Isabella da Costa	Normal	1	15989	GI
